ID	Caste	Stage	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20
EQ1	0	1	-0.051749337	-0.075595892	-0.07510831	-0.03591663	-0.067573503	-0.05825741	-0.090307675	-0.05675521	-0.089341757	-0.083279032	-0.08950029	-0.089078761	-0.066662111	-0.08163592	-0.10337749	0.81065049	-0.085859153	-0.087748559	-0.04792820	-0.074603164
EQ2	0	1	-0.030488975	-0.022039547	-0.04999025	-0.04400813	-0.018761599	-0.06174755	-0.078222993	-0.03018116	-0.071431247	-0.047797051	0.90709688	-0.078377389	-0.068624765	-0.07134967	-0.06292902	-0.06365650	-0.072989387	-0.060843634	-0.06229941	-0.074289898
EQ3	0	1	-0.051731859	-0.056104663	-0.04151252	-0.03922804	-0.071155047	-0.06943552	-0.076802260	-0.07799345	-0.072384465	-0.082670214	-0.07232270	-0.068861373	-0.054731729	-0.05590665	-0.05861867	-0.04973195	-0.054305893	-0.044781572	0.96577245	-0.074068671
EQ4	0	1	-0.096854304	-0.050528106	-0.04095099	-0.07931649	-0.037912259	-0.03305189	0.007819532	0.01906825	-0.006138879	-0.039413068	-0.02441495	-0.013475078	-0.059747675	0.89837848	-0.05560429	-0.03925360	-0.016112685	0.001890110	-0.04127124	-0.008188739
EQ5	0	1	-0.092509465	-0.023706389	-0.02853790	-0.02622984	-0.042047441	0.96582619	0.025012103	-0.06173511	-0.043682522	-0.013803427	-0.06648262	-0.078094353	-0.054079525	-0.06939441	-0.04310803	-0.04692333	-0.058821117	-0.046634131	-0.05009088	-0.101739007
EQ6	0	1	0.018761000	0.017749796	0.05158628	0.02479252	0.103645698	0.06496546	0.147162614	0.05391337	0.272019661	0.170452166	0.28716188	0.334587465	0.390940549	0.31596467	0.39576359	0.48653677	0.481632090	0.957335204	0.02140922	0.065588424
EW1	1	1	-0.058241087	-0.086022541	-0.05509759	-0.03920143	-0.090230269	-0.05964805	-0.045660631	-0.06634722	-0.078299153	-0.070378050	-0.07362958	-0.044193673	0.862236196	-0.03729348	-0.05767815	-0.08177055	-0.077792535	-0.049732930	-0.04079449	-0.056420482
EW2	1	1	-0.075218928	-0.062050974	-0.03139730	-0.01858299	0.956071355	-0.05364651	-0.038454047	-0.05598179	-0.062828946	-0.059403738	-0.05684178	-0.072035723	-0.086528399	-0.04278523	-0.05658619	-0.05393248	-0.070101741	0.016352355	-0.02835298	-0.060393310
EW3	1	1	0.014547783	-0.047074419	-0.03148855	0.96632158	-0.040145734	-0.06418351	-0.010540296	-0.01304632	-0.062601950	-0.027693812	-0.02512941	-0.025970693	-0.053985857	-0.04366531	-0.03872808	-0.06718267	-0.038741306	-0.024722367	-0.06646849	-0.045932752
EW4	1	1	-0.011649511	-0.077850557	-0.03594845	-0.06481111	-0.071090176	-0.06920651	-0.053918629	-0.03791690	-0.054890232	-0.061185552	-0.04638968	-0.046721318	-0.087239758	-0.04103948	0.86340283	-0.07217179	-0.070574147	-0.052510327	-0.10403503	-0.044938266
