cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0000004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000005	0	0.39	0.6	0	0	2.92	0	0	0	0	0	NA	0.29	0	0	0.35	NA	0	NA	NA
FEX_0000008	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000010	NA	NA	NA	0	NA	0	NA	2.38	NA	NA	NA	0.72	0	NA	NA	NA	NA	NA	NA	0
FEX_0000016	0.08	0.14	0.38	0	0.86	1.62	0	0.2	0.46	0	0	0.18	0.26	0	0	0	0	0.16	0.24	0.3
FEX_0000017	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA
FEX_0000019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000029	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA	0	NA	0	NA	NA	NA
FEX_0000032	NA	NA	NA	NA	NA	NA	0	NA	0.27	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA
FEX_0000033	NA	0	NA	NA	NA	NA	NA	0.15	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	0.65
FEX_0000034	NA	NA	NA	NA	NA	0	0	2.78	0	0	0	1.17	0	0	NA	0	NA	0	NA	0.14
FEX_0000036	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000040	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000042	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	3.23	NA	NA	NA	NA	NA	NA	NA
FEX_0000045	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000047	0.33	0	0.34	0.7	0	2.43	0.09	0.22	0.07	0	0.32	0	0.26	0.11	0	0.3	0	0.16	0	0
FEX_0000048	NA	NA	NA	0	NA	NA	NA	0.19	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0
FEX_0000050	0.11	0	0.05	5.71	NA	3.91	0	0.39	1.34	0	0	0.74	0.31	0.33	0	0	0	0	0	0.31
FEX_0000051	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000054	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000058	NA	NA	NA	NA	NA	4.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000061	NA	0.18	0.21	0	NA	1.02	NA	0.48	1.67	NA	NA	0.3	0.1	0	NA	NA	NA	NA	0.32	0.33
FEX_0000062	0	0.2	0.73	NA	NA	3.06	0	0	0.29	0	0.19	0.79	NA	0	NA	0.41	0	1.47	0	0
FEX_0000064	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	50	0.92	50	NA	NA	NA
FEX_0000066	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06	NA	NA	NA
FEX_0000067	0	0	NA	NA	NA	NA	0	1.27	NA	0	NA	0	NA	0	NA	NA	NA	0	NA	0
FEX_0000068	NA	NA	NA	NA	NA	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA
FEX_0000070	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000071	0.08	0.24	0.14	2.58	NA	2.69	0.26	0.22	0.13	0.16	0.26	0	0	3.2	NA	0.13	0.06	0.16	NA	0.13
FEX_0000073	NA	NA	NA	0	NA	NA	0	0	NA	NA	NA	NA	0.09	NA	0	NA	0	NA	NA	0
FEX_0000075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA
FEX_0000078	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA
FEX_0000081	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000082	NA	0.9	NA	NA	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000087	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	0.07	0	0	0	NA	0	NA	0.1
FEX_0000090	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000091	NA	0	NA	NA	0	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000092	NA	NA	NA	NA	0.25	NA	NA	NA	1.44	NA	NA	NA	NA	NA	NA	0	0	1.47	NA	NA
FEX_0000095	NA	NA	1.4	NA	NA	NA	0	0	0	0	0	0	0	0.22	0	NA	1.97	NA	0	NA
FEX_0000096	0	NA	NA	NA	0.14	NA	NA	NA	0.38	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0000097	0	NA	NA	0.3	NA	NA	0	0	0	0.62	0	0	1.54	NA	NA	NA	NA	NA	NA	1.25
FEX_0000098	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000099	0.3	NA	7.82	0.22	NA	NA	NA	0.4	0.27	NA	0.28	2.94	0	0.18	0.09	NA	0.1	NA	NA	2.21
FEX_0000100	NA	NA	NA	NA	0	NA	NA	1.11	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0000101	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0
FEX_0000102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0000103	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0000104	97.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	50	NA	NA	NA	NA	NA	NA
FEX_0000105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0000106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0000107	0.16	NA	NA	0.48	NA	NA	NA	0.38	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.34
FEX_0000108	0	0.13	0	0.16	0	NA	0.19	2.34	0.16	0.44	0.16	0.61	0	4.22	0.16	0.12	0.08	0.25	0.27	0
