Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0000001	0.00	2.00	3.00	1.00	0.00	0.00	0.00	0.00
FEX_0000002	11.00	0.00	1.00	13.00	11.00	7.00	0.00	2.00
FEX_0000003	1.74	4.83	0.00	3.95	0.00	1.00	1.00	0.00
FEX_0000004	25.00	38.00	9.00	4.00	8.00	0.00	0.00	0.00
FEX_0000005	2.00	3.00	3.00	4.00	2.00	17.00	0.00	3.00
FEX_0000006	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	1.00	12.00	14.00	5.00	3.00	3.00	1.00	1.00
FEX_0000009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000010	2.00	4.00	6.00	4.00	10.00	8.00	4.00	8.00
FEX_0000011	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000012	1.00	3.00	4.00	1.00	0.00	0.00	5.00	0.00
FEX_0000013	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00
FEX_0000014	1.00	1.00	4.00	5.00	1.00	1.00	5.00	1.00
FEX_0000015	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00
FEX_0000016	0.00	0.00	1.00	1.00	0.00	0.00	2.00	0.00
FEX_0000017	3.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00
FEX_0000018	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000019	0.00	2.00	3.00	1.00	0.00	2.00	0.00	2.00
FEX_0000020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	6.17	3.98	9.40	7.58	1.08	0.00	7.79	3.16
FEX_0000022	0.00	2.00	1.00	1.00	1.00	1.00	0.00	0.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000025	10.00	20.00	6.00	18.00	0.00	2.00	3.00	0.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000027	3.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00
FEX_0000028	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00
FEX_0000029	2.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00
FEX_0000030	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0000032	1.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000033	4.00	3.00	21.00	10.00	0.00	0.00	1.00	1.00
FEX_0000034	78.00	124.00	80.00	121.00	40.00	95.00	33.00	8.00
FEX_0000035	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000037	53.79	14.98	20.07	26.38	0.00	17.69	0.34	3.60
FEX_0000038	7.00	16.00	37.00	4.00	11.00	1.00	6.00	0.00
FEX_0000039	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00
FEX_0000040	1.00	4.00	7.00	3.00	3.00	4.00	1.00	0.00
FEX_0000041	0.00	3.00	2.00	6.00	0.00	4.00	0.00	0.00
FEX_0000042	5.00	14.00	7.00	15.00	11.00	13.00	19.00	5.00
FEX_0000043	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
FEX_0000044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000045	0.00	16.00	1.00	0.00	4.00	1.00	3.00	0.00
FEX_0000046	72.00	105.00	147.00	185.00	67.00	55.00	58.00	42.00
FEX_0000047	18.00	30.00	36.00	24.00	2.00	10.00	2.00	3.00
FEX_0000048	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00
FEX_0000049	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0000050	22.00	11.00	13.00	22.00	0.00	4.00	2.00	3.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	30.21	15.00	3.66	2.00	1.00	1.33	3.01	4.00
FEX_0000053	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000054	2.00	1.00	4.00	5.00	0.00	2.00	2.00	0.00
