Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0000001	0.00	2.00	3.00	1.00	1.00	9.00	0.00	3.00
FEX_0000002	11.00	0.00	1.00	13.00	0.00	10.00	1.00	8.00
FEX_0000003	1.74	4.83	0.00	3.95	0.00	1.00	0.00	0.00
FEX_0000004	25.00	38.00	9.00	4.00	0.00	16.05	2.00	6.00
FEX_0000005	2.00	3.00	3.00	4.00	0.00	2.00	0.00	2.00
FEX_0000006	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	1.00	12.00	14.00	5.00	12.00	9.00	1.00	4.00
FEX_0000009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000010	2.00	4.00	6.00	4.00	5.00	0.00	0.00	2.00
FEX_0000011	0.00	0.00	1.00	0.00	0.00	1.36	3.59	9.00
FEX_0000012	1.00	3.00	4.00	1.00	0.00	1.00	7.00	0.00
FEX_0000013	0.00	0.00	4.00	0.00	0.00	0.00	1.00	2.00
FEX_0000014	1.00	1.00	4.00	5.00	2.00	4.00	2.00	0.00
FEX_0000015	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000016	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
FEX_0000017	3.00	0.00	0.00	3.00	0.00	0.00	0.00	1.00
FEX_0000018	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000019	0.00	2.00	3.00	1.00	0.00	0.00	1.00	0.00
FEX_0000020	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000021	6.17	3.98	9.40	7.58	5.13	22.69	6.33	20.92
FEX_0000022	0.00	2.00	1.00	1.00	0.00	1.00	1.00	0.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0000025	10.00	20.00	6.00	18.00	3.00	1.00	1.00	1.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000027	3.00	0.00	3.00	1.00	0.00	0.00	0.00	2.00
FEX_0000028	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000029	2.00	0.00	1.00	0.00	1.00	7.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000032	1.00	1.00	0.00	0.00	0.00	1.00	2.00	6.06
