Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0000001	0.00	0.00	0.00	0.00	10.58	0.00	1.38	5.00
FEX_0000002	11.00	7.00	0.00	2.00	24.00	19.00	0.00	0.00
FEX_0000003	0.00	1.00	1.00	0.00	0.00	0.70	2.91	1.00
FEX_0000004	8.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00
FEX_0000005	2.00	17.00	0.00	3.00	0.00	3.00	0.00	0.00
FEX_0000006	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	3.00	3.00	1.00	1.00	3.00	0.00	19.00	9.00
FEX_0000009	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00
FEX_0000010	10.00	8.00	4.00	8.00	2.00	1.00	9.00	7.00
FEX_0000011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000012	0.00	0.00	5.00	0.00	0.00	2.00	1.00	0.00
FEX_0000013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000014	1.00	1.00	5.00	1.00	0.00	3.00	2.00	0.00
FEX_0000015	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00
FEX_0000016	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000017	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000019	0.00	2.00	0.00	2.00	1.00	2.00	0.00	0.00
FEX_0000020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	1.08	0.00	7.79	3.16	11.00	3.09	4.36	3.19
FEX_0000022	1.00	1.00	0.00	0.00	0.00	0.00	1.00	2.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	0.00	0.00	5.00	1.00
FEX_0000025	0.00	2.00	3.00	0.00	6.00	2.00	5.00	2.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000027	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00
FEX_0000028	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0000029	1.00	2.00	0.00	0.00	2.00	0.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000032	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00
FEX_0000033	0.00	0.00	1.00	1.00	8.00	3.00	3.00	15.00
FEX_0000034	40.00	95.00	33.00	8.00	101.00	35.00	152.00	41.00
FEX_0000035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00
