Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0000001	1.00	9.00	0.00	3.00	10.58	0.00	1.38	5.00
FEX_0000002	0.00	10.00	1.00	8.00	24.00	19.00	0.00	0.00
FEX_0000003	0.00	1.00	0.00	0.00	0.00	0.70	2.91	1.00
FEX_0000004	0.00	16.05	2.00	6.00	4.00	0.00	0.00	0.00
FEX_0000005	0.00	2.00	0.00	2.00	0.00	3.00	0.00	0.00
FEX_0000006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	12.00	9.00	1.00	4.00	3.00	0.00	19.00	9.00
FEX_0000009	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00
FEX_0000010	5.00	0.00	0.00	2.00	2.00	1.00	9.00	7.00
FEX_0000011	0.00	1.36	3.59	9.00	0.00	0.00	0.00	0.00
FEX_0000012	0.00	1.00	7.00	0.00	0.00	2.00	1.00	0.00
FEX_0000013	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00
FEX_0000014	2.00	4.00	2.00	0.00	0.00	3.00	2.00	0.00
FEX_0000015	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000016	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000017	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0000018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000019	0.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00
FEX_0000020	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	5.13	22.69	6.33	20.92	11.00	3.09	4.36	3.19
FEX_0000022	0.00	1.00	1.00	0.00	0.00	0.00	1.00	2.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	1.00	2.00	0.00	1.00	0.00	0.00	5.00	1.00
FEX_0000025	3.00	1.00	1.00	1.00	6.00	2.00	5.00	2.00
FEX_0000026	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000027	0.00	0.00	0.00	2.00	0.00	1.00	2.00	0.00
FEX_0000028	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000029	1.00	7.00	0.00	2.00	2.00	0.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000032	0.00	1.00	2.00	6.06	1.00	0.00	1.00	0.00
FEX_0000033	5.00	6.00	3.00	11.00	8.00	3.00	3.00	15.00
FEX_0000034	51.00	72.00	45.00	72.00	101.00	35.00	152.00	41.00
FEX_0000035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000037	1.65	4.81	19.40	1.78	3.05	3.38	11.68	1.77
FEX_0000038	17.00	47.00	9.00	14.00	3.00	27.00	10.00	6.00
FEX_0000039	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0000040	6.00	11.00	3.00	8.00	23.00	7.00	6.00	26.00
FEX_0000041	2.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0000042	6.00	17.00	8.00	24.00	19.00	13.00	15.00	3.00
FEX_0000043	0.00	1.22	0.00	0.00	0.00	0.00	0.00	1.13
FEX_0000044	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000045	5.00	0.00	0.00	8.00	0.00	0.00	4.00	0.00
FEX_0000046	84.00	142.00	37.00	94.00	85.00	143.00	100.00	64.00
FEX_0000047	21.00	31.00	9.00	31.00	34.00	11.00	17.00	8.00
FEX_0000048	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000049	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000050	0.00	2.00	4.00	0.00	0.00	2.00	8.00	2.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	69.58	60.17	33.49	21.46	8.83	90.81	12.00	37.03
FEX_0000053	1.00	1.00	1.00	0.00	2.00	1.00	0.00	1.00
FEX_0000054	2.00	1.00	13.00	0.00	0.00	1.00	1.00	2.00
FEX_0000055	0.00	1.63	0.00	0.00	0.00	0.00	0.60	0.00
FEX_0000057	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00
FEX_0000058	4.00	1.00	1.00	1.00	2.00	2.00	1.00	0.00
FEX_0000059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000060	112.00	86.00	111.00	78.00	68.00	92.00	149.00	9.00
FEX_0000061	38.00	37.00	10.00	33.00	13.00	9.00	9.00	7.00
FEX_0000062	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000063	1.00	0.00	1.00	0.00	3.00	5.00	1.00	1.00
FEX_0000064	1.00	9.00	2.00	20.00	23.00	5.00	179.00	29.00
FEX_0000065	3.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
FEX_0000066	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000067	1.00	2.00	3.00	3.00	2.00	5.00	5.00	0.00
FEX_0000068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000069	116.00	48.00	52.00	23.00	136.00	58.00	32.00	55.00
FEX_0000070	0.00	0.00	0.00	0.00	6.00	1.00	0.00	3.00
FEX_0000071	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000072	0.00	2.00	0.00	0.00	0.00	0.00	3.00	0.00
FEX_0000073	1.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00
FEX_0000074	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000075	1.00	2.00	0.00	4.00	1.00	0.00	6.00	0.00
FEX_0000076	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
FEX_0000077	0.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00
FEX_0000078	1.00	5.00	1.00	1.00	6.00	1.00	5.00	2.00
FEX_0000079	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
FEX_0000080	1.00	0.00	1.00	0.00	1.02	0.96	0.00	0.00
FEX_0000081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000082	0.00	3.00	1.00	0.00	0.00	0.00	0.00	4.00
FEX_0000083	40.60	32.76	41.54	22.25	34.69	46.28	70.72	17.21
FEX_0000084	0.00	2.41	1.00	0.00	0.00	5.06	1.00	0.00
FEX_0000085	7.82	90.19	1.57	110.70	198.94	185.26	143.06	0.00
FEX_0000086	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000088	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000089	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000091	291.00	186.00	196.00	246.00	140.00	194.00	362.00	22.00
FEX_0000092	14.00	25.00	19.00	30.00	34.00	22.00	5.00	18.00
FEX_0000093	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000094	2.00	13.00	0.00	18.00	11.00	0.00	4.00	10.00
FEX_0000095	121.00	97.00	204.00	165.00	182.00	195.00	307.00	28.00
FEX_0000096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000098	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
FEX_0000099	19.00	24.00	15.00	14.00	22.00	15.00	13.00	1.00
FEX_0000100	2758.00	5320.00	787.00	5010.00	265.00	944.00	1005.00	166.00
FEX_0000101	0.00	2.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0000102	8.00	8.00	10.00	10.00	18.00	7.00	8.00	3.00
FEX_0000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000104	214.00	73.00	204.00	111.00	72.00	103.00	178.00	5.00
FEX_0000105	1.00	0.00	0.00	1.00	1.00	0.00	4.00	0.00
FEX_0000106	0.00	0.00	2.00	0.00	0.00	2.00	49.00	0.00
FEX_0000107	57.00	106.00	44.00	57.00	146.00	121.00	175.00	172.00
FEX_0000108	144.00	198.00	97.00	160.00	249.00	80.00	375.00	92.00
FEX_0000109	193.00	224.00	168.00	156.00	165.00	179.00	163.00	48.00
FEX_0000110	1.00	3.00	0.00	3.00	6.00	9.00	2.00	3.00
FEX_0000111	2.90	33.84	5.69	12.00	67.30	6.61	7.94	36.83
FEX_0000112	0.00	0.00	0.00	5.00	0.00	0.00	0.00	1.00
FEX_0000113	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000114	19.00	4.00	3.00	5.00	0.00	16.00	15.00	4.00
FEX_0000115	0.00	4.00	0.00	0.00	0.00	1.00	1.00	0.00
FEX_0000116	3.00	8.00	6.00	24.00	0.00	37.00	13.00	0.00
FEX_0000117	90.00	117.00	107.00	76.00	72.00	125.00	157.00	15.00
FEX_0000118	0.84	0.00	0.00	1.01	1.02	0.00	0.00	0.00
FEX_0000119	3.00	8.00	3.00	3.00	10.00	7.00	4.00	27.00
FEX_0000120	0.00	0.00	3.00	0.00	0.00	0.00	10.00	0.00
FEX_0000121	31.00	53.00	34.00	52.00	46.00	40.00	43.00	13.00
FEX_0000122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000125	212.00	178.00	131.00	206.00	179.00	231.00	186.00	45.00
FEX_0000126	185.00	69.00	98.00	46.00	293.00	114.00	63.00	116.00
FEX_0000127	3.00	6.00	5.00	12.00	7.00	3.00	16.00	1.00
FEX_0000128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000129	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000131	58.83	53.54	90.56	115.27	100.18	136.14	18.67	68.89
FEX_0000132	0.00	0.00	0.00	3.00	2.00	0.00	0.00	0.00
FEX_0000133	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000134	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
