colony,date,age,behavior,location,significant behavioral categories
b,5/6/2012,1,aa,bc,
b,5/6/2012,1,aa,bc,
c,5/7/2012,1,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
b,5/4/2012,2,aa,bc,
c,5/5/2012,2,aa,bc,
c,5/8/2012,2,aa,bc,
c,5/8/2012,2,aa,bc,
b,5/5/2012,3,aa,bc,
b,5/5/2012,3,aa,bc,
c,5/6/2012,3,aa,bc,
c,5/6/2012,3,aa,bc,
c,5/6/2012,3,aa,bc,
c,5/6/2012,3,aa,bc,
b,5/8/2012,3,aa,bc,
b,5/8/2012,3,aa,bc,
b,5/8/2012,3,aa,bc,
b,5/8/2012,3,aa,bc,
b,5/8/2012,3,aa,bc,
c,5/9/2012,3,aa,bc,
c,5/9/2012,3,aa,bc,
c,5/9/2012,3,aa,bc,
c,5/9/2012,3,aa,bc,
b,5/6/2012,4,aa,bc,
b,5/6/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
c,5/7/2012,4,aa,bc,
b,5/9/2012,4,aa,bc,
b,5/9/2012,4,aa,bc,
b,5/4/2012,5,aa,bc,
b,5/4/2012,5,aa,bc,
c,5/5/2012,5,aa,bc,
b,5/7/2012,5,aa,bc,
b,5/7/2012,5,aa,bc,
b,5/7/2012,5,aa,bc,
c,5/8/2012,5,aa,bc,
c,5/8/2012,5,aa,bc,
b,5/10/2012,5,aa,bc,
b,5/8/2012,6,aa,bc,
b,5/8/2012,6,aa,bc,
c,5/8/2012,6,aa,bc,
c,5/8/2012,6,aa,bc,
b,5/8/2012,6,aa,bc,
b,5/8/2012,6,aa,bc,
b,5/8/2012,6,aa,bc,
c,5/9/2012,6,aa,bc,
c,5/9/2012,6,aa,bc,
c,5/9/2012,6,aa,bc,
c,5/9/2012,6,aa,bc,
c,5/9/2012,6,aa,bc,
c,5/7/2012,7,aa,bc,
c,5/7/2012,7,aa,bc,
c,5/7/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/9/2012,7,aa,bc,
b,5/4/2012,8,aa,bc,
b,5/4/2012,8,aa,bc,
b,5/4/2012,8,aa,bc,
b,5/4/2012,8,aa,bc,
b,5/4/2012,8,aa,bc,
b,5/7/2012,8,aa,bc,
b,5/7/2012,8,aa,bc,
b,5/7/2012,8,aa,bc,
b,5/7/2012,8,aa,bc,
c,5/8/2012,8,aa,bc,
c,5/8/2012,8,aa,bc,
b,5/10/2012,8,aa,bc,
c,5/11/2012,8,aa,bc,
b,5/5/2012,9,aa,bc,
b,5/5/2012,9,aa,bc,
b,5/5/2012,9,aa,bc,
c,5/6/2012,9,aa,bc,
b,5/8/2012,9,aa,bc,
c,5/9/2012,9,aa,bc,
c,5/9/2012,9,aa,bc,
