cluster	color	Q1_F_aquilonia	Q2_F_aquilonia	Q3_F_aquilonia	W1_F_aquilonia	W2_F_aquilonia	W3_F_aquilonia	Q1_M_chinense	Q2_M_chinense	Q3_M_chinense	W1_M_chinense	W2_M_chinense	W3_M_chinense	Q1_F_cinerea	Q2_F_cinerea	Q3_F_cinerea	W1_F_cinerea	W2_F_cinerea	W3_F_cinerea	Q1_F_exsecta	Q2_F_exsecta	W1_F_exsecta	W2_F_exsecta	Q1_F_fusca	Q2_F_fusca	Q3_F_fusca	W1_F_fusca	W2_F_fusca	W3_F_fusca	Q1_L_humile	Q2_L_humile	Q3_L_humile	W1_L_humile	W2_L_humile	W3_L_humile	Q1_Sinv_mono	Q2_Sinv_mono	Q3_Sinv_mono	W1_Sinv_mono	W2_Sinv_mono	W3_Sinv_mono	Q1_L_neglectus	Q2_L_neglectus	Q3_L_neglectus	W1_L_neglectus	W2_L_neglectus	W3_L_neglectus	Q1_M_pharaonis	Q2_M_pharaonis	Q3_M_pharaonis	W1_M_pharaonis	W2_M_pharaonis	W3_M_pharaonis	Q1_Sinv_poly	Q2_Sinv_poly	Q3_Sinv_poly	W1_Sinv_poly	W2_Sinv_poly	W3_Sinv_poly	Q1_F_pratensis	Q2_F_pratensis	Q3_F_pratensis	W1_F_pratensis	W2_F_pratensis	W3_F_pratensis	Q1_F_pressilabris	Q2_F_pressilabris	Q3_F_pressilabris	W1_F_pressilabris	W2_F_pressilabris	W3_F_pressilabris	Q1_M_Rubra	Q2_M_Rubra	Q3_M_Rubra	W1_M_Rubra	W2_M_Rubra	W3_M_Rubra	Q1_M_ruginodis	Q2_M_ruginodis	Q3_M_ruginodis	W1_M_ruginodis	W2_M_ruginodis	W3_M_ruginodis	Q1_M_sulcinodis	Q2_M_sulcinodis	Q3_M_sulcinodis	W1_M_sulcinodis	W2_M_sulcinodis	W3_M_sulcinodis	Q1_F_truncorum	Q2_F_truncorum	Q3_F_truncorum	W1_F_truncorum	W2_F_truncorum	W3_F_truncorum	W1_L_turcicus	W2_L_turcicus	W3_L_turcicus	W4_L_turcicus	W5_L_turcicus	W6_L_turcicus
FEX_0006674	Darkolivegreen	134.9032852	115.5003913	165.3599915	117.5875406	147.9272114	173.7405016	417.6948968	344.4594797	370.7135326	389.5834373	383.5906155	295.6315309	65.83618889	47.86086674	95.29721541	85.57241061	147.2147331	87.49294275	241.9410611	113.1902132	334.8392733	262.5410816	0.631367301	0.696300251	1.301562411	1.205914381	0.755403594	0.734202374	256.0476481	423.2515536	288.056519	306.6007098	256.8369262	239.1182185	298.2713094	230.1036874	337.6877355	253.9496325	84.96466666	241.9889639	161.591563	116.8441475	199.2094095	114.80688	131.8300172	184.7222709	1.169182507	3.424545759	2.683023879	2.348423632	2.23540116	7.452501461	10.00453287	10.39502783	34.67672963	20.05412134	11.88485548	12.67592474	55.1301734	19.52829531	13.61335457	107.9489503	119.7011692	194.0618813	27.89368584	55.26750561	22.24594997	46.22468019	107.5425262	94.50212472	49.36787975	72.84441763	55.50907713	171.375937	200.1330798	188.9525763	33.7191358	44.03923236	30.48690851	140.8278949	132.4799518	106.3782278	53.32629119	53.14575276	24.74746981	150.1964613	114.0091151	115.5789157	95.04781481	85.73648212	67.47840584	84.96727636	182.6371114	114.482623	236.7372847	331.1522044	178.90866	252.8695193	241.9506884	180.8953887
FEX_0010090	Red	251.4075285	156.8238647	197.9839261	209.4324965	229.953272	243.6116269	163.7369457	132.4691772	196.6996517	160.914898	149.5717139	145.678464	121.7159156	127.8723838	158.9106882	157.2426431	162.1749838	194.4193594	123.4163113	159.4784717	184.1305916	182.4303759	2.146648822	1.547333891	1.201442225	5.125136119	6.169129351	0.917752968	426.5942133	432.1215207	334.1171747	288.5750071	311.8400762	312.6283771	0.317110866	0.248876437	2.70926516	NA	8.996258822	1.211459143	1.933574258	3.996681103	5.826296759	16.56706876	10.14077055	3.729201577	41.31111526	41.11411794	41.13969948	62.97063127	67.50911502	54.87369982	3.334844291	1.36776682	3.152429966	7.336873662	0.409822603	1.811493353	75.09963992	81.02278167	62.52634276	101.5678944	95.86609014	110.2345538	69.6440639	97.64641518	80.1097324	141.0173068	77.09935992	128.5266697	3.620311182	2.292547326	4.764727651	9.469289898	17.25119929	12.22384593	8.30396628	4.920584621	5.820757149	13.79732754	19.72655427	14.06964327	175.4607001	160.434059	209.4675099	394.208279	380.5471324	300.6487103	111.8329843	112.2110506	83.17215809	161.0384063	163.4313911	140.3859247	4.746103891	15.71231522	3.975195889	4.90686293	4.345094973	4.341547216
FEX_0011617	Turquoise	NA	1.283337681	NA	0.348484969	NA	2.649644495	68.22965316	92.8727506	84.10067135	57.75997918	64.17270615	89.176764	NA	NA	NA	NA	NA	NA	162.1629136	293.246752	99.52802191	105.3058444	NA	NA	NA	NA	NA	NA	38.091264	37.91322204	49.15487279	14.99511178	16.68916166	23.59515982	NA	0.248876437	NA	NA	453.8112784	NA	4.972048093	3.761582215	1.248492163	NA	0.440903067	1.491680631	192.4474407	151.9177421	209.329523	131.5117234	144.8450535	112.5653768	NA	10.12147447	24.27371074	NA	0.409822603	0.452873338	57.04238988	30.39018737	32.69941449	10.579989	9.814444329	9.161326528	243.32097	314.701882	238.4158024	168.539719	252.0087641	243.4525936	182.3320359	190.5361555	225.6074719	83.08573479	71.30495707	84.74098598	216.4466556	222.8321893	233.880794	100.863222	95.80290746	69.17965433	169.6154505	151.8086813	165.14474	43.65282256	39.62511928	51.36840699	42.87068373	56.05381516	68.62909508	14.93644835	11.39844239	26.92908004	NA	2.205237224	0.248449743	1.509803978	0.790017268	0.482394135
FEX_0003020	Salmon	84.387394	85.21362204	90.38293211	80.32578528	52.87912813	51.50246487	107.462237	107.9630869	71.08305216	78.93299208	75.90943393	120.483955	68.25313844	49.71430531	91.7722943	86.46308256	80.16199813	110.1835352	112.2985771	127.6416426	115.8621207	85.77297015	78.68099302	73.6600562	67.88148572	68.58939521	66.85699508	46.62185077	69.706922	63.17001404	109.3658568	51.49637071	65.65330762	82.2122783	679.8856966	939.50855	869.9204133	596.2161356	0.999584314	565.3476002	76.79052055	81.21726199	50.35585056	54.93291221	37.47676074	58.66282695	33.50877066	35.22389923	42.78528746	38.98383229	38.44889995	37.72828865	192.3093541	825.0861852	1426.159317	500.3747837	511.0487857	517.6342257	74.35882966	59.13375812	68.21590406	55.21431761	45.3006709	54.51108262	65.33273946	74.63876405	70.11972055	75.60123668	61.82295573	48.38886794	132.6350369	130.6777448	179.2943191	89.53577802	128.8434571	126.3896113	140.6968687	137.7763694	109.1502837	85.63858473	104.5543243	85.9772451	140.7057198	137.5813853	170.1066763	84.61259897	84.81165881	73.27552173	80.10410139	91.35427407	115.6036494	55.55371131	35.50549296	57.52028489	18.59228732	22.3280269	18.63621523	26.79902062	21.33046623	44.62145749
FEX_0011551	Midnightblue	103.1641287	502.0622343	282.2484547	97.4120033	81.91320877	57.79537054	339.7018967	294.5394565	657.2167718	37.10020012	18.36845609	38.47142537	2150.400129	1924.910627	1281.864324	1188.611331	792.658354	1203.181434	1126.124019	1488.439918	346.0824388	405.908939	1591.096107	1793.847389	1938.316778	515.3686142	390.5600252	1296.357271	1315.775103	791.6810043	1105.17037	126.4719296	113.4244876	147.001591	1125.822852	1337.904973	1512.016256	41.45624205	220.8381624	52.49656287	1056.283995	1118.59816	527.2798566	401.344507	193.1199526	257.0662954	411.189796	494.6022517	385.9082679	69.98302423	70.19159641	59.62001169	529.7400157	852.4305795	645.5010172	33.74961884	35.24474384	32.60688036	1390.87126	2105.288896	2649.521366	580.4000123	293.3765245	592.2512052	1977.524449	1500.347674	1587.31539	1326.728601	1390.984428	683.439366	1066.036831	1188.925232	1151.932469	324.8731262	202.0307117	288.9122504	1139.407344	991.8492715	1013.867796	183.1714173	195.4722195	150.0761949	623.4015461	752.6862592	851.6596318	103.7186697	98.36762067	108.780156	1362.866664	1210.234964	1648.807947	118.9178761	533.2479587	329.0179469	125.957676	209.2191251	119.9863189	70.58333599	79.43228619	195.6108218
FEX_0005320	Darkmagenta	375.2562809	552.8875399	695.4456948	395.8858941	592.4160502	534.7711243	238.9268057	230.9440637	847.2894276	300.4433592	268.8235477	476.8644314	844.1587694	700.9828626	559.7920731	1113.242603	927.9555751	598.9405577	3054.468153	2113.085877	2170.718661	2162.796059	362.3101255	442.1514329	497.9968011	404.1848157	575.6364237	508.0350039	NA	NA	NA	NA	NA	NA	0.951332598	NA	NA	NA	4.997921568	NA	398.9074185	271.0690183	727.1176738	232.8138202	335.5272344	351.8501688	NA	1.467662468	NA	1.878738906	1.341240696	NA	6.669688583	298.9254384	214.9957237	74.8312201	268.5075729	274.6586222	68.61755016	261.7484883	181.6240408	44.46901628	66.59626251	75.31324276	492.405221	592.0816417	840.8969088	669.4058868	1099.036796	492.545074	164.8887184	158.1857655	166.2842303	352.9131504	345.7907058	550.3258031	183.9454349	179.4841819	172.6824621	115.1363195	159.2470926	311.0954457	291.6053623	370.7564684	191.5697862	227.4441249	210.638792	274.2166432	0.457694132	0.31026097	0.485011273	0.181554009	NA	NA	370.476678	830.2139275	405.4078683	652.6580638	686.7027596	201.6407485
FEX_0013271	Cyan	22.66157639	9.240031305	12.00575289	32.93182954	60.2908043	29.97410335	11.23531548	8.716194523	5.224176122	29.64221806	30.77312774	15.90152248	1.345467864	2.35554065	0.540632072	16.9759583	13.09929632	15.0778279	77.56647732	71.61543812	138.462984	129.7176979	1.262734601	1.160500418	1.201442225	4.371439631	4.784222762	6.791371962	4.252274109	4.243729148	11.50433193	46.76107226	35.85079171	38.20168733	0.951332598	0.497752874	3.201858826	0.376874928	2.998752941	0.807639429	86.71804324	213.7048896	42.44873353	278.7336657	152.5524614	264.2959742	0.779455005	NA	0.447170647	4.227162538	6.259123247	4.192032072	NA	1.641320184	NA	1.956499643	0.409822603	0.905746677	1.296417952	1.155520432	2.326583864	4.794057517	20.50517833	11.44095012	2.969669975	3.562404295	2.674376499	15.68380086	19.82888228	18.14440795	0.329119198	0.254727481	0.476472765	1.45681383	0.383359984	4.129677679	NA	NA	NA	0.95153983	4.303975476	2.344940546	NA	1.017143594	0.64357151	1.364719338	2.085532594	3.777088749	2.135905951	1.551304848	0.606264091	15.97675282	30.52555279	18.59822545	11.83145557	45.75867241	15.93059753	12.83333382	15.80034536	8.441897364
FEX_0005079	Magenta	276.0525324	100.5315406	154.9421693	302.4936649	330.4945508	435.1080587	0.142219183	NA	1.541560167	0.169384103	0.238551378	NA	2.568620468	1.363734061	0.946106127	6.56403721	4.983427948	5.077227761	158.5071256	131.3621615	223.5164306	206.5894785	NA	NA	NA	NA	NA	NA	118.0006065	76.37715701	58.86632183	29.20100715	39.86855285	39.51252954	NA	NA	NA	NA	3.998337254	NA	19.05951769	19.50850576	5.826296759	25.8678793	28.21779632	41.51844423	NA	NA	NA	NA	0.447080232	NA	28.90198386	0.820660092	0.315242997	NA	2.458935617	2.71724003	36.85531034	15.02176562	33.86236438	68.1086792	75.18565388	77.93076462	24.07553873	41.47003975	18.84219806	102.5547789	64.73546861	69.17555529	15.46860232	14.26473891	8.576509771	26.58685241	41.01951831	36.52947688	0.251635342	0.468627107	NA	NA	1.793323115	NA	9.633136474	9.662864139	6.006667429	24.56494809	30.93540014	32.48296324	19.9890284	31.33635792	30.19195172	136.165507	73.76233409	88.58123874	31.78605049	68.91366326	30.03012045	17.36274575	24.4905353	33.27795941
FEX_0011962	Midnightblue	36.90599584	80.08283799	73.6201828	42.16842364	67.81855661	53.48969824	NA	NA	NA	NA	NA	NA	186.0561888	175.7493674	152.7447794	128.2182813	94.49433691	108.5557452	75.02407313	99.10281909	36.71033572	53.05344749	163.0316644	166.8799601	181.3226618	86.52435684	63.50426213	105.1744901	45.71194667	49.83827538	38.69638922	10.06250922	12.67140052	11.42305357	0.618366189	0.248876437	NA	NA	14.9937647	NA	51.1016054	79.69852317	62.76586265	54.35161155	35.13997448	34.06004107	3.507547522	7.827533163	4.918877112	3.287793085	4.023722087	6.520938779	2.223229528	7.933047554	10.71826188	1.467374732	2.868758219	2.71724003	138.4694754	169.9770556	102.0659549	88.11147091	63.26811434	73.40959049	184.9680156	150.8084485	163.6232167	121.2171727	82.07524296	87.1801001	125.7235338	125.5449861	142.9394472	35.37508184	30.66879874	38.65213121	121.4216015	114.2348867	100.3387661	39.96467287	18.29189577	38.691519	119.7261247	82.38863108	101.6842986	44.59447891	36.84440916	18.88544375	155.9608012	131.0335495	163.6355282	51.37978464	82.67146148	80.91186742	41.2410737	53.20134804	41.73955684	23.77941266	25.28055257	45.55971409
FEX_0000534	Royalblue	226.8877029	123.2004174	177.5945333	222.2985615	251.6326397	180.5981127	4.83545223	8.48979986	2.055413556	27.44022472	16.93714782	13.67872902	124.7371025	161.834321	140.8346549	127.4260699	143.7961015	127.6938167	76.29769081	65.56315654	103.4961391	97.00625034	150.1833398	152.9392554	139.386321	128.7419119	141.7590384	130.3025664	57.57123543	53.20235896	48.25843134	117.7826569	154.8383332	163.2878691	11.41599117	14.93258623	7.635201816	7.537498554	NA	4.442016858	NA	NA	NA	NA	NA	NA	2.728092517	1.467662468	2.235853233	7.045270896	11.1770058	10.71297085	NA	16.67307753	13.55544885	27.390995	12.70450069	16.30344018	166.3795019	151.9370706	134.0792289	155.6465163	195.7000199	139.3235502	145.6623123	134.0395721	136.6107984	101.5114074	139.9965745	119.4355653	15.79772152	25.47274806	17.62949231	33.5067181	29.51871879	39.64490572	8.052330938	9.138228583	11.91869321	26.80963472	31.20740885	34.00163791	201.6043444	209.5315803	281.654781	141.0164492	187.5623738	135.2197772	86.50419101	101.5587574	77.59574098	105.4828794	92.49770492	93.5663301	2.704332701	6.615711673	5.962793834	6.039215914	5.530120874	4.823941351
