cluster 	color	NQ1	NQ2	NQ3	NQ4	NQ5	NQ6	NW1	NW2	NW3	NW4	NW5	NW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0000005	 darkolivegreen	0	0.39	0.6	0	0	2.92	0	0	0	0	0	NA	0.29	0	0	0.35	NA	0	NA	NA
FEX_0000016	 darkolivegreen	0.08	0.14	0.38	0	0.86	1.62	0	0.2	0.46	0	0	0.18	0.26	0	0	0	0	0.16	0.24	0.3
FEX_0000034	 lightsteelblue1	NA	NA	NA	NA	NA	0	0	2.78	0	0	0	1.17	0	0	NA	0	NA	0	NA	0.14
FEX_0000047	 darkolivegreen	0.33	0	0.34	0.7	0	2.43	0.09	0.22	0.07	0	0.32	0	0.26	0.11	0	0.3	0	0.16	0	0
FEX_0000050	 red	0.11	0	0.05	5.71	NA	3.91	0	0.39	1.34	0	0	0.74	0.31	0.33	0	0	0	0	0	0.31
FEX_0000061	 tan	NA	0.18	0.21	0	NA	1.02	NA	0.48	1.67	NA	NA	0.3	0.1	0	NA	NA	NA	NA	0.32	0.33
FEX_0000062	 darkolivegreen	0	0.2	0.73	NA	NA	3.06	0	0	0.29	0	0.19	0.79	NA	0	NA	0.41	0	1.47	0	0
FEX_0000071	 blue	0.08	0.24	0.14	2.58	NA	2.69	0.26	0.22	0.13	0.16	0.26	0	0	3.2	NA	0.13	0.06	0.16	NA	0.13
FEX_0000095	 darkgrey	NA	NA	1.4	NA	NA	NA	0	0	0	0	0	0	0	0.22	0	NA	1.97	NA	0	NA
FEX_0000099	 mediumpurple3	0.3	NA	7.82	0.22	NA	NA	NA	0.4	0.27	NA	0.28	2.94	0	0.18	0.09	NA	0.1	NA	NA	2.21
FEX_0000108	 blue	0	0.13	0	0.16	0	NA	0.19	2.34	0.16	0.44	0.16	0.61	0	4.22	0.16	0.12	0.08	0.25	0.27	0
