gene,evalue,hit,species,kTotal,kWithin,kOut,kDiff,behavioral_category,fire_ant_ortholog,honey_bee_ortholog,fpkm,ortholog,dN/dS
XLOC_000001,0,gi|332031559|gb|EGI71031.1| Protein embryonic gonad,Acromyrmex echinatior,1529.139923,855.5192252,673.6206978,181.8985274,all others,1,1,3.97875,both,0.0296
XLOC_000002,NA,,,526.8469797,246.852549,279.9944306,-33.14188159,all others,0,0,3.279166667,neither,NA
XLOC_000003,1.95E-92,gi|332027283|gb|EGI67367.1| DNA topoisomerase 2,Acromyrmex echinatior,425.9105088,53.5989844,372.3115244,-318.71254,all others,1,1,20.81,both,0.1136
XLOC_000005,NA,,,116.5510321,34.22912012,82.32191201,-48.0927919,all others,0,0,1.1475,neither,NA
XLOC_000006,NA,,,894.1584451,175.1822142,718.9762309,-543.7940167,all others,0,0,66.04875,neither,NA
XLOC_000007,0,gi|307179175|gb|EFN67613.1| DNA-directed RNA polymerase I subunit RPA1,Camponotus floridanus,990.3074779,646.8160151,343.4914628,303.3245523,all others,0,1,6.155416667,Amel only,NA
XLOC_000008,1.81E-71,gi|307189893|gb|EFN74137.1| SH3 domain-binding glutamic acid-rich protein-like protein,Camponotus floridanus,241.7867873,125.3631512,116.4236362,8.939515004,all others,1,1,20.9325,both,0.0608
XLOC_000009,2.30E-43,gi|307189894|gb|EFN74138.1| 60S ribosomal protein L37a,Camponotus floridanus,1671.839413,977.9472421,693.892171,284.0550711,all others,0,1,113.3104167,Amel only,NA
XLOC_000010,NA,,,274.8608913,118.8918176,155.9690737,-37.07725611,all others,0,0,8.3,neither,NA
XLOC_000011,NA,,,288.099207,156.1516144,131.9475926,24.20402184,all others,0,0,4.825,neither,NA
XLOC_000012,NA,,,691.9502203,426.4735374,265.4766829,160.9968545,all others,0,0,28.6075,neither,NA
XLOC_000015,NA,,,1037.853652,601.5349883,436.3186639,165.2163244,all others,0,0,1.98125,neither,NA
XLOC_000016,1.53E-14,gi|77403694|dbj|BAE46429.1| ORF2-encoded protein,Danio rerio,1281.166083,766.3590085,514.8070747,251.5519338,all others,0,0,7.307916667,neither,NA
XLOC_000021,1.97E-38,gi|332025129|gb|EGI65309.1| Monocarboxylate transporter 14,Acromyrmex echinatior,62.14976417,21.12793237,41.0218318,-19.89389944,all others,1,0,3.514583333,Sinv only,0.0688
XLOC_000022,NA,,,855.0519153,511.2382579,343.8136574,167.4246005,all others,0,0,4.267916667,neither,NA
XLOC_000023,1.40E-11,gi|307181098|gb|EFN68843.1| Protein KIAA0317,Camponotus floridanus,463.0825043,256.124942,206.9575623,49.16737965,all others,0,0,9.228333333,neither,NA
XLOC_000024,4.54E-162,gi|332020765|gb|EGI61169.1| Ras-related protein Rab-40C,Acromyrmex echinatior,598.2463366,83.41385362,514.832483,-431.4186293,all others,1,1,26.54541667,both,0.0386
XLOC_000025,1.62E-10,gi|307166165|gb|EFN60414.1| Serine hydroxymethyltransferase,Camponotus floridanus,105.3342705,49.22033598,56.11393456,-6.893598579,all others,0,0,2.83625,neither,NA
XLOC_000026,NA,,,528.1252689,314.9432657,213.1820032,101.7612625,all others,0,0,6.379583333,neither,NA
XLOC_000027,6.49E-129,gi|307181217|gb|EFN68914.1| Uncharacterized sugar kinase yeiC,Camponotus floridanus,1539.771526,796.4441121,743.3274142,53.11669785,forager,1,1,5.299583333,both,0.3431
XLOC_000028,4.14E-90,gi|332375068|gb|AEE62675.1| unknown,Dendroctonus ponderosae,481.141722,222.316791,258.824931,-36.50813999,all others,1,1,14.06125,both,0.0443
XLOC_000029,8.22E-72,gi|332373442|gb|AEE61862.1| unknown,Dendroctonus ponderosae,1048.744006,411.3745932,637.3694129,-225.9948197,all others,0,1,14.71083333,Amel only,NA
XLOC_000030,NA,,,200.8177773,59.88797519,140.9298021,-81.04182693,all others,0,0,1.384166667,neither,NA
XLOC_000031,0,gi|332028219|gb|EGI68268.1| Heparan-sulfate 6-O-sulfotransferase 2,Acromyrmex echinatior,1503.956285,908.0619564,595.8943284,312.167628,all others,1,1,4.884583333,both,0.2151
XLOC_000032,NA,,,995.3597135,458.1193665,537.240347,-79.12098051,all others,0,0,3.39375,neither,NA
XLOC_000033,1.16E-26,gi|158293791|ref|XP_001688617.1| AGAP005008-PB,Anopheles gambiae str. PEST,346.093465,100.8380599,245.2554051,-144.4173451,all others,1,1,14.10666667,both,0.0997
XLOC_000034,1.43E-87,gi|307177861|gb|EFN66821.1| tRNA-splicing endonuclease subunit Sen15,Camponotus floridanus,179.5393153,55.67441665,123.8648987,-68.19048201,all others,1,1,9.900833333,both,0.1384
XLOC_000035,0,gi|307177860|gb|EFN66820.1| Serine/threonine-protein kinase N2,Camponotus floridanus,673.7156056,361.7318346,311.9837711,49.74806353,all others,0,0,7.37125,neither,NA
XLOC_000036,NA,,,162.3804083,60.7971773,101.583231,-40.78605369,all others,0,0,2.850416667,neither,NA
XLOC_000038,2.51E-156,gi|332018510|gb|EGI59100.1| SCY1-like protein 2,Acromyrmex echinatior,453.786814,251.4978159,202.2889981,49.20881774,all others,0,0,3.117916667,neither,NA
XLOC_000039,NA,,,592.7980453,333.0203245,259.7777208,73.24260369,nurse,0,0,7.394583333,neither,NA
XLOC_000040,2.37E-120,gi|332020844|gb|EGI61242.1| Patj-like protein,Acromyrmex echinatior,580.1893564,290.5069777,289.6823787,0.824598949,all others,1,1,33.20583333,both,0.0208
XLOC_000041,NA,,,329.0805346,165.7239119,163.3566226,2.367289296,all others,0,0,17.57416667,neither,NA
XLOC_000043,1.53E-125,gi|332024435|gb|EGI64633.1| Dipeptidyl peptidase 4,Acromyrmex echinatior,192.2399017,102.7850406,89.45486103,13.33017961,all others,1,0,10.33583333,Sinv only,0.2205
XLOC_000044,1.43E-90,gi|332024773|gb|EGI64962.1| Elongation of very long chain fatty acids protein,Acromyrmex echinatior,522.6718266,262.7123105,259.9595161,2.752794334,all others,0,1,3.552083333,Amel only,NA
XLOC_000046,0,"gi|332025907|gb|EGI66063.1| Seryl-tRNA synthetase, cytoplasmic",Acromyrmex echinatior,255.2736915,115.150442,140.1232494,-24.97280742,all others,1,1,17.08375,both,0.0782
XLOC_000047,0,gi|332029635|gb|EGI69524.1| Microspherule protein 1,Acromyrmex echinatior,1198.308739,613.2721986,585.0365406,28.23565792,all others,1,1,7.2125,both,0.0257
XLOC_000048,0,gi|332029638|gb|EGI69527.1| Mitogen-activated protein kinase kinase kinase 9,Acromyrmex echinatior,1061.150927,686.7612305,374.3896966,312.3715339,all others,1,1,9.185,both,0.0753
XLOC_000049,5.02E-92,gi|332029637|gb|EGI69526.1| Alkylated DNA repair protein alkB-like protein 7,Acromyrmex echinatior,141.4334734,47.97459804,93.45887535,-45.48427731,all others,1,1,9.776666667,both,0.1801
XLOC_000050,4.46E-27,gi|332029636|gb|EGI69525.1| Eukaryotic translation initiation factor 3 subunit J,Acromyrmex echinatior,600.2534191,230.3991541,369.8542649,-139.4551108,all others,1,1,59.90291667,both,0.1583
XLOC_000051,NA,,,529.6496929,292.6477341,237.0019588,55.64577534,all others,0,0,12.41333333,neither,NA
XLOC_000052,5.00E-21,gi|307206955|gb|EFN84799.1| Periaxin,Harpegnathos saltator,769.8009211,370.6958553,399.1050658,-28.40921041,all others,1,0,1.336666667,Sinv only,0.0163
